PMCID	PMID	Title	Journal	Publication_Date	Image_Number
PMC8584073	34769020	Genomic Marks Associated with Chromatin Compartments in the CTCF, RNAPII Loop and Genomic Windows	International Journal of Molecular Sciences	2021-10-27	291
PMC9633603	36329158	Antibiofilm properties of bioactive compounds from  against foodborne and fish pathogens	Scientific Reports	2022-11-03	292
PMC6021810	29789501	Differentiation Between Organic and Non-Organic Apples Using Diffraction Grating and Image Processing&#x02014;A Cost-Effective Approach	Sensors (Basel, Switzerland)	2018-05-23	293
PMC3681630	23642190	Transcriptional analysis of  NCIMB 8052 to elucidate role of furfural stress during acetone butanol ethanol fermentation	Biotechnology for Biofuels	2013-05-04	294
PMC4581730	26402448	Effect of DA-9701 on Gastric Motor Function Assessed by Magnetic Resonance Imaging in Healthy Volunteers: A Randomized, Double-Blind, Placebo-Controlled Trial	PLoS ONE	2015-09-24	295
PMC7552031	32825479	Ebola Virus Disease Survivors Show More Efficient Antibody Immunity than Vaccinees Despite Similar Levels of Circulating Immunoglobulins	Viruses	2020-08-20	296
PMC8434449	34501144	Study on Concrete Deterioration in Different NaCl-Na Diffusion	Materials	2021-09-03	297
PMC9630420	36323774	Facile synthesis of polyoxometalate supported on magnetic graphene oxide as a hybrid catalyst for efficient oxidation of aldehydes	Scientific Reports	2022-11-02	298
PMC4834460	25659473	Orbitofrontal cortex, emotional decision-making and response to cognitive behavioural therapy for psychosis	Psychiatry Research	2015-03-30	299
PMC6791269	31662816	Maternal Diet-Induced Obesity Compromises Oxidative Stress Status and Angiogenesis in the Porcine Placenta by Upregulating Nox2 Expression	Oxidative Medicine and Cellular Longevity	2019-10-01	300
PMC6915331	31661904	Knowledge about Disease, Medication Therapy, and Related Medication Adherence Levels among Patients with Hypertension	Medicina	2019-10-28	301
PMC8866769	35221957	Viability Study of Machine Learning-Based Prediction of COVID-19 Pandemic Impact in Obsessive-Compulsive Disorder Patients	Frontiers in Neuroinformatics	2022-02-10	302
PMC8484105	34312732	Patient assessment and feasibility of treatment in older patients with cancer: results from the IN-GHO Registry	Journal of Cancer Research and Clinical Oncology	2021-07-26	303
PMC6241630	29785956	Using alternatives to the car and risk of all-cause, cardiovascular and cancer mortality	Heart	2018-11-21	304
PMC9736316	36498339	Changes in Alcohol Consumption and Risk of Heart Failure: A Nationwide Population-Based Study in Korea	International Journal of Environmental Research and Public Health	2022-12-05	305
PMC9217852	35732709	Protocatechuic acid as a potent anticarcinogenic compound in purple rice bran against diethylnitrosamine-initiated rat hepatocarcinogenesis	Scientific Reports	2022-06-22	306
PMC3938451	24586692	Improved Detection of Paroxysmal Atrial Fibrillation Utilizing a Software-Assisted Electrocardiogram Approach	PLoS ONE	2014-02-28	307
PMC9693576	36363805	Comparative Evaluation of Luminex xTAG in Stool Samples from a Pediatric Population	Microorganisms	2022-11-09	308
PMC9647959	36352413	Factors predicting admission of psychiatric emergency contacts after presenting to the emergency department: results of a regression analysis	Annals of General Psychiatry	2022-11-09	309
PMC8943999	35321723	Identification of a novel compound heterozygous  variants in a Chinese family with heart and brain malformation syndrome using whole exome sequencing	BMC Medical Genomics	2022-03-23	310
PMC5367077	28352298	Low genetic diversity but strong population structure reflects multiple introductions of western flower thrips (Thysanoptera: Thripidae) into China followed by human&#x02010;mediated spread	Evolutionary Applications	2017-02-23	311
PMC5489217	28658270	Ethanol production improvement driven by genome-scale metabolic modeling and sensitivity analysis in	PLoS ONE	2017-06-28	312
PMC7488313	32912265	Pathobiology of the highly pathogenic avian influenza viruses H7N1 and H5N8 in different chicken breeds and role of Mx 2032 G/A polymorphism in infection outcome	Veterinary Research	2020-09-10	313
PMC3623776	23561041	Lymphoma B-cell responsiveness to CpG-DNA depends on the tumor microenvironment	Journal of Experimental &#x00026; Clinical Cancer Research : CR	2013-04-05	314
PMC6266095	30413108	Bone Regeneration by Novel Bioactive Glasses Containing Strontium and/or Magnesium: A Preliminary In-Vivo Study	Materials	2018-11-08	315
PMC8401624	34445030	Independent Determinants of Appetite Impairment among Patients with Stage 3 or Higher Chronic Kidney Disease: A Prospective Study	Nutrients	2021-08-20	316
PMC7993803	33720936	Opportunistic feeding behaviour and  females collected in the human leishmaniasis focus of Madrid, Spain (2012&#x02013;2018)	PLoS Neglected Tropical Diseases	2021-03-15	317
PMC5580081	28792449	Terrestrial Laser Scanner Two-Face Measurements for Analyzing the Elevation-Dependent Deformation of the Onsala Space Observatory 20-m Radio Telescope&#x02019;s Main Reflector in a Bundle Adjustment	Sensors (Basel, Switzerland)	2017-08-09	318
PMC8738629	35068975	A new species ( from southern Xizang (Tibet) of China	PhytoKeys	2021-12-30	319
PMC5369969	28146421	The HDAC inhibitor AR42 interacts with pazopanib to kill trametinib/dabrafenib-resistant melanoma cells	Oncotarget	2017-01-27	320
PMC4264161	25380522	A Microdeletion of Chromosome 9q33.3 Encompasses the Entire LMX1B Gene in a Chinese Family with Nail Patella Syndrome	International Journal of Molecular Sciences	2014-11-05	321
PMC6597193	31247044	Human exposure to uranium in South African gold mining areas using barber-based hair sampling	PLoS ONE	2019-06-27	322
PMC3674628	23227940	Silencing of microRNA-101 prevents IL-1&#x003b2;-induced extracellular matrix degradation in chondrocytes	Arthritis Research &#x00026; Therapy	2012-12-10	323
PMC5749748	29293590	Evolution of DDB1-binding WD40 (DWD) in the viridiplantae	PLoS ONE	2018-01-02	324
PMC5992279	29910774	The Expression of Markers for Intratubular Germ Cell Neoplasia in Normal Infantile Testes	Frontiers in Endocrinology	2018-06-01	325
PMC4695476	26714865	Nanoparticles formation mechanisms through the spark erosion of alloys in cryogenic liquids	Nanoscale Research Letters	2015-12-29	326
PMC8720007	34976105	The Effect and Mechanism of Exercise Training on Rats with Poststroke Depression Based on the Intestinal Flora	Computational and Mathematical Methods in Medicine	2021-12-24	327
PMC6085698	30092792	A circRNA&#x02013;miRNA&#x02013;mRNA network identification for exploring underlying pathogenesis and therapy strategy of hepatocellular carcinoma	Journal of Translational Medicine	2018-08-09	328
PMC3977974	24710283	Biodiversity and ITS-RFLP Characterisation of  Isolates in Grapes from Four Traditional Grape-Producing Areas in Greece	PLoS ONE	2014-04-07	329
PMC8122673	33919301	On the Frequency Carrier Offset and Symbol Timing Estimation for CCSDS 131.2-B-1 High Data-Rate Telemetry Receivers	Sensors (Basel, Switzerland)	2021-04-21	330
PMC7553296	33048976	Dormant season grazing on northern mixed grass prairie agroecosystems: Does protein supplement intake, cow age, weight and body condition impact beef cattle resource use and residual vegetation cover?	PLoS ONE	2020-10-13	331
PMC7712165	33022922	Targeted Modification of the Foot-And-Mouth Disease Virus Genome for Quick Cell Culture Adaptation	Vaccines	2020-10-03	332
PMC9070505	35137079	Recannulation of the right axillary artery in reoperative proximal thoracic aortic surgery is safe	Interactive Cardiovascular and Thoracic Surgery	2022-02-07	333
PMC4706832	28330089	Discovery of potential ALK inhibitors by virtual screening approach	3 Biotech	2016-06-09	334
PMC8020751	33753518	TMEM70 and TMEM242 help to assemble the rotor ring of human ATP synthase and interact with assembly factors for complex I	Proceedings of the National Academy of Sciences of the United States of America	2021-03-30	335
PMC4215707	25401095	Reconceptualizing the chlamydial inclusion as a pathogen-specified parasitic organelle: an expanded role for Inc proteins	Frontiers in Cellular and Infection Microbiology	2014-10-31	336
PMC9499752	36159569	Arbutin Inhibited Heat Stress-Induced Apoptosis and Promoted Proliferation and Migration of Heat-Injured Dermal Fibroblasts and Keratinocytes by Activating PI3K/AKT Signaling Pathway	Evidence-based Complementary and Alternative Medicine : eCAM	2022-09-15	337
PMC8059170	33882989	Diagnostic delays in vasculitis and factors associated with time to diagnosis	Orphanet Journal of Rare Diseases	2021-04-21	338
PMC3732594	23970904	Antigenic Peptides Capable of Inducing Specific Antibodies for Detection of the Major Alterations Found in Type 2B Von Willebrand Disease	International Journal of Peptides	2013-07-18	339
PMC7875418	33566851	What do blind people &#x0201c;see&#x0201d; with retinal prostheses? Observations and qualitative reports of epiretinal implant users	PLoS ONE	2021-02-10	340
PMC5778109	29404279	Dysbiosis of the Vaginal Microbiota and Higher Vaginal Kynurenine/Tryptophan Ratio Reveals an Association with  Genital Infections	Frontiers in Cellular and Infection Microbiology	2018-01-18	341
PMC3536987	23052774	The role of culture media on embryonation and subsequent infectivity of  eggs	Parasitology Research	2013-10-03	342
PMC4884598	27294155	Immunomodulatory Effects of a Bioactive Compound Isolated from	Journal of Immunology Research	2016-05-15	343
PMC9209657	35747792	Serum and Serum Exosomal CircRNAs hsa_circ_0001492, hsa_circ_0001439, and hsa_circ_0000896 as Diagnostic Biomarkers for Lung Adenocarcinoma	Frontiers in Oncology	2022-06-07	344
PMC3441813	22672252	A high-resolution map of the Nile tilapia genome: a resource for studying cichlids and other percomorphs	BMC Genomics	2012-06-06	345
PMC6594805	31195370	Immune senescence and immune activation in elderly colorectal cancer patients	Aging (Albany NY)	2019-06-13	346
PMC6943520	31847475	Characterization and Identification of Prenylated Flavonoids from  Lam. Roots by Quadrupole Time-Of-Flight and Linear Trap Quadrupole Orbitrap Mass Spectrometry	Molecules	2019-12-15	347
PMC8363612	34389783	Numerical simulation and analysis of effects of individual differences on the field distribution in the human brain with electromagnetic pulses	Scientific Reports	2021-08-13	348
PMC5711034	29194460	Dynamical system modeling to simulate donor T cell response to whole exome sequencing-derived recipient peptides: Understanding randomness in alloreactivity incidence following stem cell transplantation	PLoS ONE	2017-12-01	349
PMC4348669	25737341	Pressure-induced zigzag phosphorus chain and superconductivity in boron monophosphide	Scientific Reports	2015-03-04	350
PMC8117011	33995317	Floating Biofilm Formation and Phenotype in Synovial Fluid Depends on Albumin, Fibrinogen, and Hyaluronic Acid	Frontiers in Microbiology	2021-04-29	351
PMC4516891	26283910	Systemic AAVrh10 provides higher transgene expression than AAV9 in the brain and the spinal cord of neonatal mice	Frontiers in Molecular Neuroscience	2015-07-28	352
PMC3829657	24148294	Genome-scale cold stress response regulatory networks in ten  ecotypes	BMC Genomics	2013-10-22	353
PMC7179188	32121003	Chemical Speciation of Aluminum in Wine by LC&#x02013;ICP&#x02013;MS	Molecules	2020-02-27	354
PMC6265271	30498208	Obesity, altered oxidative stress, and clinical correlates in chronic schizophrenia patients	Translational Psychiatry	2018-11-29	355
PMC4128822	25110928	Comparative Analyses between Retained Introns and Constitutively Spliced Introns in  Using Random Forest and Support Vector Machine	PLoS ONE	2014-08-11	356
PMC5340031	28286417	Molecular mechanism of G arrest and cellular senescence induced by LEE011, a novel CDK4/CDK6 inhibitor, in leukemia cells	Cancer Cell International	2017-03-06	357
PMC4496076	26154286	Resuscitation Using Liposomal Vasopressin in an Animal Model of Uncontrolled Hemorrhagic Shock	PLoS ONE	2015-07-08	358
PMC8795196	35087033	Control of electronic band profiles through depletion layer engineering in core&#x02013;shell nanocrystals	Nature Communications	2022-01-27	359
PMC6392851	30847150	Comparison of textural properties and structure of gels prepared from cooked rice grain under different conditions	Food Science &#x00026; Nutrition	2019-01-28	360
PMC9562214	36228033	Estimating microbial population data from optical density	PLoS ONE	2022-10-13	361
PMC8588834	34777363	GPR Expression in Intestinal Biopsies From SCT Patients Is Upregulated in GvHD and Is Suppressed by Broad-Spectrum Antibiotics	Frontiers in Immunology	2021-10-28	362
PMC9323866	35886164	Global Warming&#x02019;s Six MTurks: A Secondary Analysis of a US-Based Online Crowdsourcing Market	International Journal of Environmental Research and Public Health	2022-07-07	363
PMC6542102	31142260	Evaluation of the interaction between polymyxin B and  biofilm and planktonic cells: reactive oxygen species induction and zeta potential	BMC Microbiology	2019-05-29	364
PMC7555953	32932802	An In-Vitro Cell Model of Intracellular Protein Aggregation Provides Insights into RPE Stress Associated with Retinopathy	International Journal of Molecular Sciences	2020-09-11	365
PMC7515918	32973193	Valence band electronic structure of the van der Waals ferromagnetic insulators: VI	Scientific Reports	2020-09-24	366
PMC7361976	32517004	Radiation Grafting of a Polymeric Prodrug onto Silicone Rubber for Potential Medical/Surgical Procedures	Polymers	2020-06-05	367
PMC7820577	33479346	Effects of dexmedetomidine on renal microcirculation in ischemia/reperfusion-induced acute kidney injury in rats	Scientific Reports	2021-01-21	368
PMC7810564	33506042	Evaluation of Newly Developed Easy-Open Assistive Devices for Pneumatic Tube System Carriers for the Reduction of Work-Related Musculoskeletal Disorders	BioMed Research International	2021-01-08	369
PMC7041372	32041229	Experimental Evaluation of Mode II fracture Properties of  L.	Materials	2020-02-06	370
PMC7901721	33634970	Enforced sialyl&#x02010;Lewis&#x02010;X (sLeX) display in E&#x02010;selectin ligands by exofucosylation is dispensable for CD19&#x02010;CAR T&#x02010;cell activity and bone marrow homing	Clinical and Translational Medicine	2021-02-23	371
PMC7766978	33352937	Latitudinal Cline in Chromosome Numbers of Ice Cod  (Gadidae) from Northeast Greenland	Genes	2020-12-18	372
PMC6266505	30400349	Limonoids Containing a C Moiety: Isolation, Structural Modification, and Antiviral Activity	Marine Drugs	2018-11-04	373
PMC3639656	23634285	Assessment of diagnosis of inflammatory breast cancer cases at two cancer centers in Egypt and Tunisia	Cancer Medicine	2013-04-24	374
PMC7641863	33143638	Multiple waves of freshwater colonization of the three-spined stickleback in the Japanese Archipelago	BMC Evolutionary Biology	2020-11-03	375
PMC5444425	28351901	Association Between Midwall Late Gadolinium Enhancement and Sudden Cardiac Death in Patients With Dilated Cardiomyopathy and Mild and Moderate Left Ventricular Systolic Dysfunction	Circulation	2017-05-30	376
PMC7220859	32279177	Advanced liver disease outcomes after hepatitis C eradication by human immunodeficiency virus infection in PITER cohort	Hepatology International	2020-04-11	377
PMC4582123	26231626	Local motion detectors are required for the computation of expansion flow-fields	Biology Open	2015-07-31	378
PMC5507281	27730590	Protocols to Study Aging in	Methods in Molecular Biology (Clifton, N.j.)	2016-10-12	379
PMC6702444	31475036	Identification of Potential Immune-Related circRNA&#x02013;miRNA&#x02013;mRNA Regulatory Network in Intestine of  Infection	Frontiers in Genetics	2019-08-14	380
PMC4640713	26554930	The Performance of the Four Anaerobic Blood Culture Bottles BacT/ALERT-FN, -FN Plus, BACTEC-Plus and -Lytic in Detection of Anaerobic Bacteria and Identification by Direct MALDI-TOF MS	PLoS ONE	2015-11-10	381
PMC3395858	22413949	In vitro corrosion of ZEK100 plates in Hank's Balanced Salt Solution	BioMedical Engineering OnLine	2012-03-13	382
PMC8840636	35159668	Effect of Nano-SiO/PVA Fiber on Sulfate Resistance of Cement Mortar Containing High-Volume Fly Ash	Nanomaterials	2022-01-19	383
PMC4425557	25955322	Impact of Smoking and Brain Metastasis on Outcomes of Advanced  Mutation Lung Adenocarcinoma Patients Treated with First Line Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitors	PLoS ONE	2015-05-08	384
PMC8863883	35194138	Towards optimal thermal distribution in magnetic hyperthermia	Scientific Reports	2022-02-22	385
PMC3897652	24465963	How Does Pollen Chemistry Impact Development and Feeding Behaviour of Polylectic Bees?	PLoS ONE	2014-01-21	386
PMC4412200	25879224	Exposure to persons with symptoms of respiratory or gastrointestinal infection and relative risk of disease: self-reported observations by controls in a randomized intervention trial	Trials	2015-04-17	387
PMC5773329	29375762	Effects of temperature, soil substrate, and microbial community on carbon mineralization across three climatically contrasting forest sites	Ecology and Evolution	2017-12-10	388
PMC7745244	33344495	Challenges Associated With the Design and Deployment of Food Intake Urine Biomarker Technology for Assessment of Habitual Diet in Free-Living Individuals and Populations&#x02014;A Perspective	Frontiers in Nutrition	2020-11-25	389
PMC9557357	35819006	Comparative health systems analysis of differences in the catastrophic health expenditure associated with non-communicable vs communicable diseases among adults in six countries	Health Policy and Planning	2022-07-12	390
PMC6192585	30332455	Post-radiation sarcoma: A study by the Eastern Asian Musculoskeletal Oncology Group	PLoS ONE	2018-10-17	391
PMC8425561	34495994	Modelling the effects of the repellent scent marks of pollinators on their foraging efficiency and the plant-pollinator community	PLoS ONE	2021-09-08	392
PMC8118279	33983966	Multi-population stochastic modeling of Ebola in Sierra Leone: Investigation of spatial heterogeneity	PLoS ONE	2021-05-13	393
PMC7174249	32095938	Pitfalls in quantitative myocardial PET perfusion I: Myocardial partial volume correction	Journal of Nuclear Cardiology	2020-02-24	394
PMC3590569	23471118	The impact of induced anxiety on response inhibition	Frontiers in Human Neuroscience	2013-03-07	395
PMC7058360	32092059	Patients&#x02019; preferences of cutaneous leishmaniasis treatment outcomes: Findings from an international qualitative study	PLoS Neglected Tropical Diseases	2020-02-24	396
PMC7827842	33435274	Connection between Inverse Engineering and Optimal Control in Shortcuts to Adiabaticity	Entropy	2021-01-09	397
PMC8734535	35002664	cuSCNN: A Secure and Batch-Processing Framework for Privacy-Preserving Convolutional Neural Network Prediction on GPU	Frontiers in Computational Neuroscience	2021-12-23	398
PMC7160377	32149332	Stigmasterol alleviates cerebral ischemia/reperfusion injury by attenuating inflammation and improving antioxidant defenses in rats	Bioscience Reports	2020-04-15	399
PMC5556043	28808228	Loss of Usp9x disrupts cell adhesion, and components of the Wnt and Notch signaling pathways in neural progenitors	Scientific Reports	2017-08-14	400
PMC4281755	25381247	Microseconds Simulations Reveal a New Sodium-binding Site and the Mechanism of Sodium-coupled Substrate Uptake by LeuT	The Journal of Biological Chemistry	2015-01-02	401
PMC5366159	28352463	Pervasive antibiotic misuse in the Cambodian community: antibiotic-seeking behaviour with unrestricted access	Antimicrobial Resistance and Infection Control	2017-03-24	402
PMC8629904	34900116	Intraspecies multiple chromosomal variations including rare tandem fusion in the Russian Far Eastern endemic evoron vole )	Comparative Cytogenetics	2021-11-22	403
PMC5594490	28893189	Differentially expressed genes during the imbibition of dormant and after-ripened seeds &#x02013; a reverse genetics approach	BMC Plant Biology	2017-09-11	404
PMC8264206	34248492	Neural Network Training Acceleration With RRAM-Based Hybrid Synapses	Frontiers in Neuroscience	2021-06-24	405
PMC6894784	31805099	Central sensitization in knee osteoarthritis and fibromyalgia: Beyond depression and anxiety	PLoS ONE	2019-12-05	406
PMC6935098	31881894	Associations between indoor environmental quality in schools and symptom reporting in pupil-administered questionnaires	Environmental Health	2019-12-27	407
PMC4580452	26397098	Ablation of TRPM5 in Mice Results in Reduced Body Weight Gain and Improved Glucose Tolerance and Protects from Excessive Consumption of Sweet Palatable Food when Fed High Caloric Diets	PLoS ONE	2015-09-23	408
PMC8226603	34201146	Application of Magnetic Nanoparticles Coated with Crosslinked Zwitterionic Poly(ionic liquid)s for the Extraction of Oligonucleotides	Materials	2021-06-08	409
PMC6911162	31836897	Mesophotic.org: a repository for scientific information on mesophotic ecosystems	Database: The Journal of Biological Databases and Curation	2019-12-14	410
PMC6511847	30916321	Uncovering the unexplored diversity of thioamidated ribosomal peptides in Actinobacteria using the RiPPER genome mining tool	Nucleic Acids Research	2019-05-21	411
PMC9300918	35873050	Selection and Surface Modifications of Current Collectors for Anode-Free Polymer-Based Solid-State Batteries	Frontiers in Chemistry	2022-07-07	412
PMC7565690	32867317	Thermal, Viscoelastic, Mechanical and Wear Behaviour of Nanoparticle Filled Polytetrafluoroethylene: A Comparison	Polymers	2020-08-27	413
PMC6122198	30176800	RpfC regulates the expression of the key regulator	BMC Microbiology	2018-09-03	414
PMC7459764	32796574	Implementation of the &#x02018;Optimising the Health Extension Program&#x02019; Intervention in Ethiopia: A Process Evaluation Using Mixed Methods	International Journal of Environmental Research and Public Health	2020-08-11	415
PMC5311858	28202019	Anti-arthritic property of crude extracts of  (Mimosaceae) in complete Freund&#x02019;s adjuvant-induced arthritis in rats	BMC Complementary and Alternative Medicine	2017-02-15	416
PMC8850377	35185676	CYP2D6 Genetic Variation and Antipsychotic-Induced Weight Gain: A Systematic Review and Meta-Analysis	Frontiers in Psychology	2022-02-03	417
PMC6441743	30976512	The influence of parasitism by ) from Campo Grande, Mato Grosso do Sul, Brazil	International Journal for Parasitology: Parasites and Wildlife	2019-03-24	418
PMC4558088	26331475	Mother Vocal Recognition in Antarctic Fur Seal  Pups: A Two-Step Process	PLoS ONE	2015-09-02	419
PMC3928326	24517718	Dissimilatory nitrate reduction by  isolated from the seasonal oxygen minimum zone in the Arabian Sea	BMC Microbiology	2014-02-11	420
PMC7847655	33531997	Carbon ion triggered immunogenic necroptosis of nasopharyngeal carcinoma cells involving necroptotic inhibitor BCL-x	Journal of Cancer	2021-01-01	421
PMC8920643	35295201	Breakdancing Movement Based on Image Recognition Promotes Preschool Children's Executive Function and Intervention Plan	Computational and Mathematical Methods in Medicine	2022-03-07	422
PMC8847158	35185636	Joint Hypermobility Links Neurodivergence to Dysautonomia and Pain	Frontiers in Psychiatry	2022-02-02	423
PMC8068037	33917210	Comparative Analysis of Platelet-Derived Extracellular Vesicles Using Flow Cytometry and Nanoparticle Tracking Analysis	International Journal of Molecular Sciences	2021-04-07	424
PMC6608961	31269073	Vibration of symmetrically layered angle-ply cylindrical shells filled with fluid	PLoS ONE	2019-07-03	425
PMC7922772	33669623	Recycling Waste Cotton Cloths for the Isolation of Cellulose Nanocrystals: A Sustainable Approach	Polymers	2021-02-19	426
PMC7259604	32469947	Comparison of Alere q whole blood viral load with DBS and plasma viral load in the classification of HIV virological failure	PLoS ONE	2020-05-29	427
PMC8275570	34253779	Effect of land-use change along&#x000a0;altitudinal&#x000a0;gradients on soil micronutrients in the mountain ecosystem of Indian (Eastern) Himalaya	Scientific Reports	2021-07-12	428
PMC9478419	36119096	Outbreak of : The role of turmeric oil in enhancing immunity and inducing resistance against co-infection	Frontiers in Immunology	2022-09-02	429
PMC7904727	32026336	Laparoscopic Colectomy vs Laparoscopic CME: a Retrospective Study of Two Hospitals with Comparable Laparoscopic Experience	Journal of Gastrointestinal Surgery	2021-02-05	430
PMC3281117	22359651	Transcriptional Activity and Nuclear Localization of Cabut, the  Ortholog of Vertebrate TGF-&#x003b2;-Inducible Early-Response Gene (TIEG) Proteins	PLoS ONE	2012-02-16	431
PMC5377339	28381969	Twin domain imaging in topological insulator Bi epitaxial thin films by scanning X-ray nanobeam microscopy and electron backscatter diffraction	Journal of Applied Crystallography	2017-02-17	432
PMC3462178	23049676	Motor Planning in Chronic Upper-Limb Hemiparesis: Evidence from Movement-Related Potentials	PLoS ONE	2012-10-01	433
PMC6433798	29968086	Personality assimilation across species: enfacing an ape reduces own intelligence and increases emotion attribution to apes	Psychological Research	2019-07-02	434
PMC5567469	28830513	Extract promotes cell death in B16 melanoma cells via down-regulation of ERK and Akt signaling pathways	BMC Complementary and Alternative Medicine	2017-08-22	435
PMC8157878	34070016	MRI-Based Radiomics Analysis for the Pretreatment Prediction of Pathologic Complete Tumor Response to Neoadjuvant Systemic Therapy in Breast Cancer Patients: A Multicenter Study	Cancers	2021-05-18	436
PMC4569617	28324526	An alternative method for production of microalgal biodiesel using novel  lipase	3 Biotech	2015-10-07	437
PMC7222496	32462019	Analysis of Lumbar Sagittal Curvature in Spinal Decompression and Fusion for Lumbar Spinal Stenosis Patients under Roussouly Classification	BioMed Research International	2020-05-01	438
PMC8395319	34445297	Soluble Receptor for Advanced Glycation End Products (sRAGE) Is a Sensitive Biomarker in Human Pulmonary Arterial Hypertension	International Journal of Molecular Sciences	2021-08-10	439
PMC8928959	34698113	AoP-LSE: Antioxidant Proteins Classification Using Deep Latent Space Encoding of Sequence Features	Current Issues in Molecular Biology	2021-10-09	440
PMC4178456	25276504	Turf algae-mediated coral damage in coastal reefs of Belize, Central America	PeerJ	2014-09-16	441
PMC8574623	34477824	Physical activity and fat-free mass during growth and in later life	The American Journal of Clinical Nutrition	2021-09-03	442
PMC9241313	35764993	Role of NOD2 and hepcidin in inflammatory periapical periodontitis	BMC Oral Health	2022-06-28	443
PMC7303921	32577539	Enhancing radiation response by a second-generation TRAIL receptor agonist using a new in vitro organoid model system	Clinical and Translational Radiation Oncology	2020-06-09	444
PMC5620055	28959016	Liquid Marble as Bioreactor for Engineering Three-Dimensional Toroid Tissues	Scientific Reports	2017-09-28	445
PMC6525158	31101871	Enhanced Ultra-Sensitive Metamaterial Resonance Sensor based on Double Corrugated Metal stripe for Terahertz Sensing	Scientific Reports	2019-05-17	446
PMC4410151	25931966	Reptiles of Chubut province, Argentina: richness, diversity, conservation status and geographic distribution maps	ZooKeys	2015-04-21	447
PMC5924994	29849729	Treatment of Urolithiasis with Medicinal Plant: A Nationwide Cohort Study	Evidence-based Complementary and Alternative Medicine : eCAM	2018-04-11	448
PMC8569112	34744753	Repurposing Cefazolin-Avibactam for the Treatment of Drug Resistant	Frontiers in Pharmacology	2021-10-22	449
PMC5683459	29132300	Plant-mediated RNAi silences midgut-expressed genes in congeneric lepidopteran insects in nature	BMC Plant Biology	2017-11-13	450
PMC7325376	32605589	BDH2 triggers ROS-induced cell death and autophagy by promoting Nrf2 ubiquitination in gastric cancer	Journal of Experimental &#x00026; Clinical Cancer Research : CR	2020-06-30	451
PMC6448956	29085991	The association between  seropositivity and risk of new-onset diabetes: a prospective cohort study	Diabetologia	2018-10-30	452
PMC3922425	24498933	Total sitting time and risk of myocardial infarction, coronary heart disease and all-cause mortality in a prospective cohort of Danish adults	The International Journal of Behavioral Nutrition and Physical Activity	2014-02-05	453
PMC7436332	32851386	Construction of Dual-Biofunctionalized Chitosan/Collagen Scaffolds for Simultaneous Neovascularization and Nerve Regeneration	Research	2020-08-10	454
PMC7763969	33321989	Microendoscopic Posterior Decompression for Treating Thoracic Myelopathy Caused by Ossification of the Ligamentum Flavum: Case Series	Medicina	2020-12-10	455
PMC8307779	34298994	Folding and Intrinsic Disorder of the Receptor Tyrosine Kinase KIT Insert Domain Seen by Conventional Molecular Dynamics Simulations	International Journal of Molecular Sciences	2021-07-09	456
PMC8248752	34210325	Persistence of SARS-CoV-2 RNA in the nasopharyngeal, blood, urine, and stool samples of patients with COVID-19: a hospital-based longitudinal study	Virology Journal	2021-07-01	457
PMC6715810	31467317	Enhanced insights from human and animal host-associated molecular marker genes in a freshwater lake receiving wet weather overflows	Scientific Reports	2019-08-29	458
PMC7925602	33654109	Computational modelling of nanotube delivery of anti-cancer drug into glutathione reductase enzyme	Scientific Reports	2021-03-02	459
PMC4843653	27053752	Colonization of the Scottish islands via long-distance Neolithic transport of red deer ()	Proceedings of the Royal Society B: Biological Sciences	2016-04-13	460
PMC3368782	22405261	Inflammatory monocytes damage the hippocampus during acute picornavirus infection of the brain	Journal of Neuroinflammation	2012-03-09	461
PMC5956070	29101572	Laparoscopic modified mesocolic excision with central vascular ligation in right-sided colon cancer shows better short- and long-term outcomes compared with the open approach in propensity score analysis	Surgical Endoscopy	2018-11-03	462
PMC4671536	26641662	Surface Modification of Biodegradable Polymers towards Better Biocompatibility and Lower Thrombogenicity	PLoS ONE	2015-12-07	463
PMC6219585	30401943	Biological interactions of biocompatible and water-dispersed MoS nanosheets with bacteria and human cells	Scientific Reports	2018-11-06	464
PMC5735632	29358969	A New Chinese Medicine Intestine Formula Greatly Improves the Effect of Aminosalicylate on Ulcerative Colitis	Evidence-based Complementary and Alternative Medicine : eCAM	2017-11-20	465
PMC5403905	28487712	Roles of Plasmalemma Aquaporin Gene  in Enhancing Drought Tolerance in Potato	Frontiers in Plant Science	2017-04-25	466
PMC8281654	34266496	Divergence in chondrogenic potential between in vitro and in vivo of adipose- and synovial-stem cells from mouse and human	Stem Cell Research &#x00026; Therapy	2021-07-15	467
PMC8602344	34795282	Single-cell analysis of diverse immune phenotypes in malignant pleural effusion	Nature Communications	2021-11-18	468
PMC7844295	33510253	In-depth quantitative proteomic characterization of organotypic hippocampal slice culture reveals sex-specific differences in biochemical pathways	Scientific Reports	2021-01-28	469
PMC4164797	25228851	Prescription patterns for children with juvenile idiopathic arthritis in Michigan Medicaid: a comparison by prescriber type	Pediatric Rheumatology Online Journal	2014-09-05	470
PMC6276207	30509296	Autoimmune disorders but not heparin are associated with cell-free fetal DNA test failure	Journal of Translational Medicine	2018-12-03	471
PMC3864154	24381522	Development of a  Strain S1 as a Host for the Production of Heterologous Proteins	The Scientific World Journal	2013-11-30	472
