Image_Number	PMCID	PMID	Title	Journal	Publication_Date	visually detect problem colors (Shades of red, green, and orange)	Contrasts mitigate problem	Labels mitigate problem	Distance mitigates problem	Conclusion (5 types listed in drop down)	Notes
538	PMC7475975	32784427	Physical Properties and Microstructure of Concrete with Waste Basalt Powder Addition	Materials	8/8/2020	FALSE				Gray-scale	
539	PMC5191010	27916913	Uniformly Porous Nanocrystalline CaMgFe Ceramic Derived Electro-Ceramic Nanocomposite for Impedance Type Humidity Sensor	Sensors (Basel, Switzerland)	11/30/2016	TRUE	Y	Y	Y	Definitely okay	
540	PMC7148524	32143365	A Comparative Assessment of Pain Caused by the Placement of Banded Orthodontic Appliances with and without Low-Level Laser Therapy: A Randomized Controlled Prospective Study	Dentistry Journal	3/4/2020	FALSE				Definitely okay	
541	PMC3295752	22412863	Deletion of in Mice Leads to Multiple Developmental Defects and Models Human Focal Dermal Hypoplasia (Goltz Syndrome)	PLoS ONE	3/6/2012	FALSE				Definitely okay	
542	PMC9226296	35756935	Temporal Grading Index of Functional Network Topology Predicts Pain Perception of Patients With Chronic Back Pain	Frontiers in Neurology	6/10/2022	TRUE	NA	NA	Y	Definitely okay	
543	PMC6505255	31105927	On the Complexity of Visual Judgement of Kinship	i-Perception	5/6/2019	FALSE				Definitely okay	
544	PMC7795350	33396670	The ITIM-Containing Receptor: Leukocyte-Associated Immunoglobulin-Like Receptor-1 (LAIR-1) Modulates Immune Response and Confers Poor Prognosis in Invasive Breast Carcinoma	Cancers	12/30/2020	FALSE				Definitely okay	
545	PMC7152958	32411276	Magnetic Resonance Image Denoising Algorithm Based on Cartoon, Texture, and Residual Parts	Computational and Mathematical Methods in Medicine	4/1/2020	FALSE				Definitely okay	
546	PMC5870813	29580217	Foreign peptide triggers boost in pneumococcal metabolism and growth	BMC Microbiology	3/27/2018	FALSE				Gray-scale	
547	PMC10946720	38505643	Engineering Enzyme&#x02010;Cleavable Oligonucleotides by Automated Solid&#x02010;Phase Incorporation of Cathepsin B Sensitive Dipeptide Linkers	Angewandte Chemie (Weinheim an Der Bergstrasse, Germany)	3/21/2022	TRUE	Y	N	N	Definitely okay	
548	PMC9862999	36675757	Long-Term Use of Contributes to Homeostasis in Acne-Prone Skin&#x02014;A 12-Month Follow-Up International &#x0201c;Real Life&#x0201d; Cohort Study	Journal of Personalized Medicine	12/31/2022	FALSE				Definitely okay	
549	PMC8828866	35140324	Blood&#x02013;brain barrier disruption as a cause of various serum neuron-specific enolase cut-off values for neurological prognosis in cardiac arrest patients	Scientific Reports	2/9/2022	FALSE				Gray-scale	
550	PMC5892001	29631574	Challenges and opportunities of integration of community based Management of Acute Malnutrition into the government health system in Bangladesh: a qualitative study	BMC Health Services Research	4/10/2018	FALSE				Gray-scale	
551	PMC9070866	35511887	Effects of arm-crank exercise on cardiovascular function, functional capacity, cognition and quality of life in patients with peripheral artery disease: Study protocol for a randomized controlled trial	PLoS ONE	5/5/2022	FALSE				Gray-scale	
552	PMC5768332	29371915	Expansion of tumor-infiltrating lymphocytes and their potential for application as adoptive cell transfer therapy in human breast cancer	Oncotarget	12/6/2017	FALSE				Gray-scale	
553	PMC6966884	31948403	A new approach to characterize postural deficits in chemotherapy-induced peripheral neuropathy and to analyze postural adaptions after an exercise intervention	BMC Neurology	1/16/2020	FALSE				Definitely okay	
554	PMC7526232	32993620	Artificial intelligence accuracy in detecting pathological breath sounds in children using digital stethoscopes	Respiratory Research	9/29/2020	FALSE				Gray-scale	
555	PMC9296463	35853993	Estimates of the genetic contribution to methane emission in dairy cows: a meta-analysis	Scientific Reports	7/19/2022	FALSE				Gray-scale	
556	PMC5312910	28347024	Band Structure Simulations of the Photoinduced Changes in the MgB:Cr Films	Nanomaterials	4/2/2015	FALSE				Definitely okay	
557	PMC4316604	25648167	Myocardial T2* mapping: influence of noise on accuracy and precision	Journal of Cardiovascular Magnetic Resonance	2/4/2015	FALSE				Definitely okay	
558	PMC9133132	35614107	The 3&#x02032; Pol II pausing at replication-dependent histone genes is regulated by Mediator through Cajal bodies&#x02019; association with histone locus bodies	Nature Communications	5/25/2022	TRUE	Y	Y	Y	Definitely okay	
559	PMC8999474	35407717	Investigation of Flammability of Protective Clothing System for Firefighters	Materials	3/24/2022	FALSE				Definitely okay	
560	PMC5918893	29694360	A comparative analysis of terrestrial arthropod assemblages from a relict forest unveils historical extinctions and colonization differences between two oceanic islands	PLoS ONE	4/25/2018	TRUE	Y	N	N	Definitely okay	
561	PMC7559235	32899971	A Parsimonious Description and Cross-Country Analysis of COVID-19 Epidemic Curves	International Journal of Environmental Research and Public Health	9/6/2020	FALSE				Definitely okay	
562	PMC8041795	33846455	Transcriptomic analysis of human brain microvascular endothelial cells exposed to laminin binding protein (adhesion lipoprotein) and	Scientific Reports	4/12/2021	FALSE				Gray-scale	
563	PMC5525283	28738796	Health profile for Danish adults with activity limitation: a cross-sectional study	BMC Public Health	7/24/2017	FALSE				Definitely okay	
564	PMC7711604	33207550	Ultrasonographic Monitoring in 38 Dogs with Clinically Suspected Acute Pancreatitis	Veterinary Sciences	11/16/2020	FALSE				Gray-scale	
565	PMC4260118	24215457	Development of a outbred laboratory population for genetic analysis	Molecular Ecology Resources	5/12/2014	FALSE				Gray-scale	
566	PMC6679669	31528165	Evaluation of Cyclooxygenase-2 Expression in Association with Clinical-Pathological Factors in Malignant Melanoma	Iranian Journal of Pathology	1/10/2019	FALSE				Definitely okay	
567	PMC6842481	31728151	Impact of 3-year changes in fasting insulin and insulin resistance indices on incident hypertension: Tehran lipid and glucose study	Nutrition &#x00026; Metabolism	11/9/2019	FALSE				Gray-scale	
568	PMC9035891	35480095	A Machine Learning-Modified Novel Nomogram to Predict Perioperative Blood Transfusion of Total Gastrectomy for Gastric Cancer	Frontiers in Oncology	4/11/2022	FALSE				Gray-scale	
569	PMC5556002	28808244	The N-P-K soil nutrient balance of Portuguese cropland in the 1950s: The transition from organic to chemical fertilization	Scientific Reports	8/14/2017	FALSE				Definitely okay	
570	PMC9168805	35617980	Measuring the availability of human resources for health and its relationship to universal health coverage for 204 countries and territories from 1990 to 2019: a systematic analysis for the Global Burden of Disease Study 2019	Lancet (London, England)	6/4/2022	TRUE	Y	Y	Y	Definitely okay	
571	PMC4175795	26229603	Whole breast and excision cavity radiotherapy plan comparison: Conformal radiotherapy with sequential boost versus intensity-modulated radiation therapy with a simultaneously integrated boost	Journal of Medical Radiation Sciences	3/13/2013	TRUE	N	N	N	Definitely problematic	
572	PMC9195240	35698203	Efficacy of dexmedetomidine on postoperative pain in patients undergoing gastric and esophageal endoscopic submucosal dissection: a study protocol for a randomized controlled prospective trial	Trials	6/13/2022	TRUE	Y	Y	N	Definitely okay	
573	PMC5903632	29664972	The impact of social and psychological consequences of disease on judgments of disease severity: An experimental study	PLoS ONE	4/17/2018	FALSE				Gray-scale	
574	PMC7240608	32244366	A Tough and Mildew-Proof Soybean-Based Adhesive Inspired by Mussel and Algae	Polymers	3/31/2020	FALSE				Definitely okay	
575	PMC7438377	32409978	Estimation of total collagen volume: a T1 mapping versus histological comparison study in healthy Landrace pigs	The International Journal of Cardiovascular Imaging	5/14/2020	FALSE				Definitely okay	
576	PMC7459754	32784626	Bioinformatic Analysis of 1000 Amphibian Antimicrobial Peptides Uncovers Multiple Length-Dependent Correlations for Peptide Design and Prediction	Antibiotics	8/7/2020	FALSE				Gray-scale	
577	PMC3701588	23861787	Birth Origin Differentially Affects Depressive-Like Behaviours: Are Captive-Born Cynomolgus Monkeys More Vulnerable to Depression than Their Wild-Born Counterparts?	PLoS ONE	7/4/2013	TRUE	Y	Y	Y	Definitely okay	
578	PMC7950207	33639418	Interspecies Differences in Proteome Turnover Kinetics Are Correlated With Life Spans and Energetic Demands	Molecular &#x00026; Cellular Proteomics : MCP	1/7/2021	TRUE	N	Y	N	Probably okay	Figure B has a color gradient from red to green/blue which is harder to see in the simulated image.
579	PMC6566621	31064103	Fermented Extract Prevents Hepatosteatosis and Adipocyte Hypertrophy in High Fat Diet-Fed Mice	Nutrients	5/6/2019	FALSE				Gray-scale	
580	PMC8703730	34961066	Leaf Vein Morphological Variation in Four Endangered Neotropical Species along an Elevation Gradient in the Mexican Tropical Montane Cloud Forests	Plants	11/26/2021	FALSE				Definitely okay	
581	PMC7003827	31943184	A retrospective review to identify criteria for incorporating the Singapore flap and gracilis muscle flap into obstetric fistula repair	International Journal of Gynaecology and Obstetrics	1/13/2020	FALSE				Definitely okay	
582	PMC9324676	35885634	Effective Prevention and Management Tools for Metabolic Syndrome Based on Digital Health-Based Lifestyle Interventions Using Healthcare Devices	Diagnostics	7/16/2022	FALSE				Gray-scale	
583	PMC6349240	30421497	&#x003b1;&#x02010;galactosylceramide generates lung regulatory T cells through the activated natural killer T cells in mice	Journal of Cellular and Molecular Medicine	2/13/2019	TRUE	Y	N	N	Definitely okay	
584	PMC7037067	32024182	PTP4A3, A Novel Target Gene of HIF-1alpha, Participates in Benzene-Induced Cell Proliferation Inhibition and Apoptosis through PI3K/AKT Pathway	International Journal of Environmental Research and Public Health	2/1/2020	FALSE				Gray-scale	
585	PMC8959980	35355557	Male Sex Is an Independent Predictor of Recurrence-Free Survival in Middle Eastern Papillary Thyroid Carcinoma	Frontiers in Endocrinology	3/10/2022	FALSE				Definitely okay	
586	PMC9462011	36339806	(-indazol-4-one	IUCrData	3/29/2022	TRUE	Y	N	N	Definitely okay	
587	PMC4696342	26714768	Scope and limitations of yeast as a model organism for studying human tissue-specific pathways	BMC Systems Biology	12/29/2015	FALSE				Gray-scale	
588	PMC4820896	27026490	Decadal predictions of the North Atlantic CO uptake	Nature Communications	3/30/2016	TRUE	N	N	N	Definitely problematic	
589	PMC8028762	33827569	Reporting of harms in oncological clinical study reports submitted to the European Medicines Agency compared to trial registries and publications&#x02014;a methodological review	BMC Medicine	4/8/2021	TRUE	Y	N	Y	Definitely okay	
590	PMC7105745	32266299	Dietary Supplementation With Magnolia Bark Extract Alters Chicken Intestinal Metabolite Levels	Frontiers in Veterinary Science	3/24/2020	FALSE				Definitely okay	
591	PMC5748487	29094504	A link between the fibroblast growth factor axis and the miR&#x02010;16 family reveals potential new treatment combinations in mesothelioma	Molecular Oncology	1/18/2018	FALSE				Definitely okay	
592	PMC5983692	29751535	Therapeutic Potential of Sclareol in Experimental Models of Rheumatoid Arthritis	International Journal of Molecular Sciences	5/3/2018	FALSE				Gray-scale	
593	PMC9481339	36134119	Application of Artificial Neural Network Algorithm in Facial Biological Image Information Scanning and Recognition	Contrast Media &#x00026; Molecular Imaging	9/9/2022	TRUE	Y	N	Y	Definitely okay	
594	PMC6580286	31236239	Sex ratio at mating does not modulate age fitness effects in	Ecology and Evolution	5/21/2019	FALSE				Definitely okay	
595	PMC3827258	24236045	Diversity and Evolution of Bacterial Twin Arginine Translocase Protein, TatC, Reveals a Protein Secretion System That Is Evolving to Fit Its Environmental Niche	PLoS ONE	11/13/2013	FALSE				Definitely okay	
596	PMC10201932	37220520	Variance Measures for Symmetric Positive (Semi-) Definite Tensors in Two Dimensions	Mathematics and visualization	2/11/2021	FALSE				Definitely okay	
597	PMC7072267	32033192	Proton Magnetic Resonance Spectroscopy Characterization of Rathke&#x02019;s Cleft Cysts (RCCs): Relevance to the Differential Diagnosis of Pituitary Adenomas and RCCs	Cancers	2/4/2020	FALSE				Definitely okay	
598	PMC4613138	26485568	Chemotherapy-Related Amenorrhea and Menopause in Young Chinese Breast Cancer Patients: Analysis on Incidence, Risk Factors and Serum Hormone Profiles	PLoS ONE	10/20/2015	FALSE				Definitely okay	
599	PMC3734476	23880729	Climate Change and West Nile Virus in a Highly Endemic Region of North America	International Journal of Environmental Research and Public Health	7/22/2013	TRUE	Y	N	N	Definitely okay	
600	PMC7921302	33247920	Organ-specific expression and epigenetic traits of genes encoding digestive enzymes in the lance-leaf sundew ()	Journal of Experimental Botany	11/28/2020	TRUE	Y	N	Y	Definitely okay	
601	PMC9738695	36498348	Innovation of the Third Sector to Improve Nature Reserve Management in the Post-COVID-19 Epidemic Era	International Journal of Environmental Research and Public Health	12/5/2022	FALSE				Definitely okay	
602	PMC8113327	33976164	Immune evolution from preneoplasia to invasive lung adenocarcinomas and underlying molecular features	Nature Communications	5/11/2021	TRUE	Y	Y	N	Definitely okay	
603	PMC6402285	30915360	Epidemiologic Features of Traumatic Fractures in Children and Adolescents: A 9-Year Retrospective Study	BioMed Research International	2/20/2019					Definitely okay	
604	PMC6146308	28905670	A model to facilitate implementation of the International Classification of Functioning, Disability and Health into prosthetics and orthotics	Prosthetics and Orthotics International	10/14/2018					Gray-scale	
605	PMC7566271	33132590	Anti-feline immunodeficiency virus reverse transcriptase properties of some medicinal and edible mushrooms	Veterinary World	9/5/2020	FALSE				Gray-scale	
606	PMC9238286	35783909	(endoplasmic reticulum) stress&#x02010;triggered autophagy in the epidural fibrosis process	JOR Spine	5/1/2022	FALSE				Definitely okay	
607	PMC6066579	30087671	Comparative Transcriptome Analysis of KT2440 Revealed Its Response Mechanisms to Elevated Levels of Zinc Stress	Frontiers in Microbiology	7/24/2018	TRUE	Y	Y	N	Definitely okay	
608	PMC9156356	35669615	Cohort Profile: Project on Human Development in Chicago Neighborhoods and Its Additions (PHDCN+)	Journal of Developmental and Life-Course Criminology	6/1/2022	FALSE				Definitely okay	
609	PMC4306850	25546273	NNK, a Tobacco-Specific Carcinogen, Inhibits the Expression of Lysyl Oxidase, a Tumor Suppressor	International Journal of Environmental Research and Public Health	1/23/2015	FALSE				Gray-scale	
610	PMC6268078	22785268	Effect of Gender, Season, and Vitamin D Status on Bone Biochemical Markers in Saudi Diabetes Patients	Molecules	7/11/2012	FALSE				Definitely okay	
611	PMC7227604	32457611	The Beneficial Effect of HES on Vascular Permeability and Its Relationship With Endothelial Glycocalyx and Intercellular Junction After Hemorrhagic Shock	Frontiers in Pharmacology	5/8/2020	FALSE				Gray-scale	
612	PMC8565192	34760257	Effect of agricultural diversification on dietary diversity in rural households with children under 5&#x000a0;years of age in Zambia	Food Science &#x00026; Nutrition	9/17/2021	FALSE				Definitely okay	
613	PMC3538694	23102060	Simple neck pain questions used in surveys, evaluated in relation to health outcomes: a cohort study	BMC Research Notes	10/26/2012	FALSE				Gray-scale	
614	PMC6316692	30545065	MRI Study of the Influence of Surface Coating Aging on the In Vivo Biodistribution of Iron Oxide Nanoparticles	Biosensors	12/12/2018	TRUE	Y	Y	Y	Definitely okay	
615	PMC8732851	34459957	Anti-inflammatory HDL effects are impaired in atrial fibrillation	Heart and Vessels	8/30/2022	FALSE				Gray-scale	
616	PMC8669350	34916991	Predicting Reading From Behavioral and Neural Measures &#x02013; A Longitudinal Event-Related Potential Study	Frontiers in Psychology	11/30/2021	FALSE				Gray-scale	
617	PMC7513224	33265794	Spatial Organization of Five-Fold Morphology as a Source of Geometrical Constraint in Biology	Entropy	9/14/2018	FALSE				Definitely okay	
618	PMC6611958	31316714	Oral supplementation with capsaicin reduces oxidative stress and IL-33 on a food allergy murine model	The World Allergy Organization Journal	7/2/2019	FALSE				Gray-scale	
619	PMC9502536	36144802	Data from Multiple Portable XRF Units and Their Significance for Ancient Glass Studies	Molecules	9/17/2022	TRUE	Y	Y	Y	Definitely okay	
620	PMC4456387	26042802	Cooking and Season as Risk Factors for Acute Lower Respiratory Infections in African Children: A Cross-Sectional Multi-Country Analysis	PLoS ONE	6/4/2015	FALSE				Gray-scale	
621	PMC9733266	36494763	Effective strategies against COVID-19 and the importance of infection sequelae	Global Health Research and Policy	12/1/2022	FALSE				Definitely okay	
622	PMC6777483	31611875	Enhancing Immune Response and Heterosubtypic Protection Ability of Inactivated H7N9 Vaccine by Using STING Agonist as a Mucosal Adjuvant	Frontiers in Immunology	9/27/2019	FALSE				Gray-scale	
623	PMC8494318	34613975	No effect of &#x02018;watching eyes&#x02019;: An attempted replication and extension investigating individual differences	PLoS ONE	10/6/2021	FALSE				Definitely okay	
624	PMC6795475	31584934	Histone deposition promotes recombination-dependent replication at arrested forks	PLoS Genetics	10/4/2019	FALSE				Definitely okay	
625	PMC10127356	37170125	Seasonal variation of (Chelidae), with focus on host&#x02019;s torpor state	BMC Zoology	5/1/2021	TRUE	N	Y	N	Probably problematic	Arial photo with red house disappearing
626	PMC9376445	35979479	Antimicrobial susceptibilities and mechanisms of resistance of commensal and invasive isolates	Frontiers in Microbiology	8/1/2022	FALSE				Definitely okay	
627	PMC7873906	33584327	Neuromuscular Adaptations and Enhancement of Physical Performance in Female Basketball Players After 8 Weeks of Plyometric Training	Frontiers in Physiology	1/21/2021	FALSE				Gray-scale	
628	PMC6270904	24378966	The Phenolics from the Roots of Show Antioxidative and Obsteoblast Differentiation Promoting Activity	Molecules	12/27/2013	FALSE				Definitely okay	
629	PMC3472888	23112660	An Improved Force Feedback Control Algorithm for Active Tendons	Sensors (Basel, Switzerland)	8/20/2012	FALSE				Gray-scale	
630	PMC7313462	32481599	Functional Expression of Piezo1 in Dorsal Root Ganglion (DRG) Neurons	International Journal of Molecular Sciences	5/28/2020	FALSE				Definitely okay	
631	PMC5856770	29549255	Monitoring ultrafast vibrational dynamics of isotopic molecules with frequency modulation of high-order harmonics	Nature Communications	3/16/2018	TRUE	Y	Y	Y	Definitely okay	
632	PMC9094087	35574068	Transcriptomic and Metabolomic Analyses Reveal a Potential Mechanism to Improve Soybean Resistance to Anthracnose	Frontiers in Plant Science	4/27/2022	TRUE	N	Y	Y	Definitely okay	
633	PMC9719489	36463363	Comprehensive sequence and expression profile analysis of the phosphate transporter gene family in soybean	Scientific Reports	12/3/2022	FALSE				Gray-scale	
634	PMC3616928	23375055	QTL mapping and epistatic interaction analysis in asparagus bean for several characterized and novel horticulturally important traits	BMC Genetics	2/2/2013	FALSE				Definitely okay	
635	PMC5830295	29623087	EBG Based Microstrip Patch Antenna for Brain Tumor Detection via Scattering Parameters in Microwave Imaging System	International Journal of Biomedical Imaging	2/12/2018	FALSE				Definitely okay	
636	PMC6467181	31019647	Kickstand External Fixator for Immobilization Following Free Flap Plantar Calcaneal Reconstruction	Eplasty	4/9/2019	TRUE	Y	N	N	Definitely okay	
637	PMC8977325	35388314	Effect of Carbon Dioxide on Bispectral Index of EEG under Intravenous Target-Controlled Anesthesia Based on Intelligent Medical Treatment	Journal of Healthcare Engineering	3/27/2022	FALSE				Definitely okay	
638	PMC8494364	34614035	Evaluation of the prothrombotic potential of four-factor prothrombin complex concentrate (4F-PCC) in animal models	PLoS ONE	10/6/2021	FALSE				Gray-scale	
639	PMC9416376	36015478	Transpirational Leaf Cooling Effect Did Not Contribute Equally to Biomass Retention in Wheat Genotypes under High Temperature	Plants	8/21/2022	FALSE				Gray-scale	
640	PMC9863759	36679868	Risk of Infection and Duration of Protection after the Booster Dose of the Anti-SARS-CoV-2 Vaccine BNT162b2 among Healthcare Workers in a Large Teaching Hospital in Italy: Results of an Observational Study	Vaccines	12/22/2022	FALSE				Definitely okay	
641	PMC7722888	33293512	Cloning of wheat reveals a role of jasmonic acid in grain weight determination	Nature Communications	12/8/2020	FALSE				Definitely okay	
642	PMC4748228	26860259	Quorum sensing activity of L8A, a bacterium isolated from dental plaque	Scientific Reports	2/10/2016	TRUE	NA	NA	Y	Definitely okay	
643	PMC4366095	25790230	Interspecific and Geographic Variation in the Diets of Sympatric Carnivores: Dingoes/Wild Dogs and Red Foxes in South-Eastern Australia	PLoS ONE	3/19/2015	FALSE				Gray-scale	
644	PMC6299880	30618728	Approach to Anti-arthritic and Anti-inflammatory Effect of Crocetin by Alteration of Nuclear Factor-E2-Related Factor 2/hem Oxygenase (HO)-1 and NF-&#x003ba;B Expression	Frontiers in Pharmacology	12/12/2018	FALSE				Gray-scale	
645	PMC3507698	23209677	Disc Volume Reduction with Percutaneous Nucleoplasty in an Animal Model	PLoS ONE	11/27/2012	FALSE				Gray-scale	
646	PMC7594076	33092030	Accumulation of 8-hydroxydeoxyguanosine, L-arginine and Glucose Metabolites by Liver Tumor Cells Are the Important Characteristic Features of Metabolic Syndrome and Non-Alcoholic Steatohepatitis-Associated Hepatocarcinogenesis	International Journal of Molecular Sciences	10/20/2020	FALSE				Definitely okay	
647	PMC7584651	33097821	Unraveling spatial cellular pattern by computational tissue shuffling	Communications Biology	10/23/2020	TRUE	N	N	N	Definitely problematic	
648	PMC4666620	26623642	Heterogeneous Evolution of HIV-1 CRF01_AE in Men Who Have Sex with Men (MSM) and Other Populations in China	PLoS ONE	12/1/2015	FALSE				Definitely okay	
649	PMC6410207	30717161	Electrospun Filaments Embedding Bioactive Glass Particles with Ion Release and Enhanced Mineralization	Nanomaterials	2/1/2019	FALSE				Definitely okay	
650	PMC9687159	36421081	3D-Printed Piezoelectric Porous Bioactive Scaffolds and Clinical Ultrasonic Stimulation Can Help in Enhanced Bone Regeneration	Bioengineering	11/11/2022	FALSE				Gray-scale	
651	PMC3834946	24300450	Preclinical Absorption, Distribution, Metabolism, and Excretion of an Oral Amide Prodrug of Gemcitabine Designed to Deliver Prolonged Systemic Exposure	Pharmaceutics	5/8/2013	FALSE				Gray-scale	
652	PMC6132670	29961917	Molecular basis of atypicality of bupropion inferred from its receptor engagement in nervous system tissues	Psychopharmacology	7/1/2018	TRUE	Y	Y	Y	Definitely okay	
653	PMC9045781	35496233	Managing Students&#x02019; Creativity in Music Education &#x02013; The Mediating Role of Frustration Tolerance and Moderating Role of Emotion Regulation	Frontiers in Psychology	4/13/2022	FALSE				Gray-scale	
654	PMC9832851	35551683	The effects of macronutrients composition on hormones and substrates during a meal tolerance test in drug-naive and sitagliptin-treated individuals with type 2 diabetes: a randomized crossover study	Archives of Endocrinology and Metabolism	5/12/2022	FALSE				Definitely okay	
655	PMC9848919	36761877	&#x0feff;A new species of from Central China	PhytoKeys	6/2/2022	TRUE	N	N	N	Definitely problematic	
656	PMC6709918	31449540	Reliability of the balance evaluation systems test and trunk control measurement scale in adult spinal deformity	PLoS ONE	8/26/2019	FALSE				Gray-scale	
657	PMC7494837	32938702	Putative Membrane Receptors Contribute to Activation and Efficient Signaling of Mitogen-Activated Protein Kinase Cascades during Adaptation of to Different Stressors and Carbon Sources	mSphere	9/16/2020	FALSE				Gray-scale	
658	PMC8511704	34659084	Two-Year Change in Serum Total Cholesterol Is Associated With Incident Ischemic Stroke: Results From the Kailuan Study	Frontiers in Neurology	9/29/2021	FALSE				Gray-scale	
659	PMC7278493	32365596	Possibility of Autonomous Estimation of Shiba Goat&#x02019;s Estrus and Non-Estrus Behavior by Machine Learning Methods	Animals : an Open Access Journal from MDPI	4/29/2020	FALSE				Definitely okay	
660	PMC8463601	34561433	Rapid prototyping and design of cybergenetic single-cell controllers	Nature Communications	9/24/2021	TRUE	Y	N	N	Definitely okay	
661	PMC9237073	35760793	Sustainable wood electronics by iron-catalyzed laser-induced graphitization for large-scale applications	Nature Communications	6/27/2022	FALSE				Definitely okay	
662	PMC8441611	34463627	Health Internet Technology for Chronic Conditions: Review of Diabetes Management Apps	JMIR Diabetes	8/31/2021	FALSE				Definitely okay	
663	PMC7023523	31963104	Crystallization and Microstructure Evolution of Microinjection Molded Isotactic Polypropylene with the Assistance of Poly(Ethylene Terephthalate)	Polymers	1/16/2020	TRUE	Y	N	N	Definitely okay	
664	PMC3906180	24489924	Glucose-Induced Glucagon-Like Peptide 1 Secretion Is Deficient in Patients with Non-Alcoholic Fatty Liver Disease	PLoS ONE	1/29/2014	FALSE				Gray-scale	
665	PMC7926353	33670067	Zinc Protoporphyrin Is a Reliable Marker of Functional Iron Deficiency in Patients with Inflammatory Bowel Disease	Diagnostics	2/21/2021	FALSE				Gray-scale	
666	PMC8364129	34391471	A novel method for inference of acyclic chemical compounds with bounded branch-height based on artificial neural networks and integer programming	Algorithms for Molecular Biology : AMB	8/14/2021	FALSE				Gray-scale	
667	PMC6515021	31010050	Visual Navigation for Recovering an AUV by Another AUV in Shallow Water	Sensors (Basel, Switzerland)	4/20/2019	FALSE				Definitely okay	
668	PMC5591189	28887447	tadpole tail regeneration	Nature Communications	9/8/2017	FALSE				Definitely okay	
669	PMC5612932	28947824	Direct observation of mode-specific phonon-band gap coupling in methylammonium lead halide perovskites	Nature Communications	9/25/2017	TRUE	Y	N	N	Definitely okay	
670	PMC6944692	31907363	Oligodendrocyte precursor cells transplantation protects blood&#x02013;brain barrier in a mouse model of brain ischemia via Wnt/&#x003b2;-catenin signaling	Cell Death &#x00026; Disease	1/6/2020	TRUE	N	N	N	Definitely problematic	
671	PMC5751690	29297299	A sparse autoencoder-based deep neural network for protein solvent accessibility and contact number prediction	BMC Bioinformatics	12/28/2017	TRUE	NA	NA	Y	Definitely okay	
672	PMC3644682	23352643	Snail2 promotes osteosarcoma cell motility through remodelling of the actin cytoskeleton and regulates tumor development	Cancer Letters	6/10/2013	FALSE				Definitely okay	
673	PMC9412778	36028902	On the relationship between tripartite motif-containing 22 single-nucleotide polymorphisms and COVID-19 infection severity	Human Genomics	8/26/2022	FALSE				Definitely okay	
674	PMC5390838	28413706	Basic taste processing recruits bilateral anteroventral and middle dorsal insulae: An activation likelihood estimation meta&#x02010;analysis of studies	Brain and Behavior	3/10/2017	FALSE				Definitely okay	
675	PMC9654087	36366003	Evaluation of Temperature Sensors for Detection of Heat Sources Using Additive Printing Method	Sensors (Basel, Switzerland)	10/29/2022	FALSE				Definitely okay	
676	PMC8656120	34448556	Efficacy and Safety of Ibrutinib Therapy in Patients with Chronic Lymphocytic Leukemia: Retrospective Analysis of Real-Life Data	Turkish Journal of Hematology	12/7/2021	FALSE				Definitely okay	
677	PMC7290749	32384667	p62 is Negatively Implicated in the TRAF6-BECN1 Signaling Axis for Autophagy Activation and Cancer Progression by Toll-Like Receptor 4 (TLR4)	Cells	5/6/2020	FALSE				Definitely okay	
678	PMC7696026	33182716	BDNF rs6265 Polymorphism and Its Methylation in Patients with Stroke Undergoing Rehabilitation	International Journal of Molecular Sciences	11/10/2020	TRUE	Y	Y	Y	Definitely okay	
679	PMC9548870	36226170	Effect of Sun exposure-induced ferroptosis mechanisms on pathology and potential biological processes of primary melanoma by microarray data analysis	Frontiers in Genetics	9/26/2022	TRUE	Y	Y	Y	Definitely okay	
680	PMC6023210	29953509	The association between new onset atrial fibrillation and incident cancer&#x02014;A nationwide cohort study	PLoS ONE	6/28/2018	FALSE				Gray-scale	
681	PMC3720561	23800352	Predicting response to physiotherapy treatment for musculoskeletal shoulder pain: protocol for a longitudinal cohort study	BMC Musculoskeletal Disorders	6/21/2013	FALSE				Gray-scale	
682	PMC4847346	27118136	Malaria, helminths and malnutrition: a cross-sectional survey of school children in the South-Tongu district of Ghana	BMC Research Notes	4/27/2016	FALSE				Gray-scale	
683	PMC9577388	36300009	1,4,6,10-Tetraazaadamantanes (TAADs) with -amino groups: synthesis and formation of boron chelates and host&#x02013;guest complexes	Beilstein Journal of Organic Chemistry	10/11/2022	FALSE				Definitely okay	
684	PMC5385354	28443076	Major Virulence Factors Damselysin, Phobalysin P and Phobalysin C	Frontiers in Microbiology	4/10/2017	FALSE				Gray-scale	
685	PMC6275117	30519508	The effect of insulin on equine lamellar basal epithelial cells mediated by the insulin-like growth factor-1 receptor	PeerJ	11/29/2018	FALSE				Gray-scale	
686	PMC7522349	33041935	Tracking the Influence of Predictive Cues on the Evaluation of Food Images: Volatility Enables Nudging	Frontiers in Psychology	9/15/2020	FALSE				Definitely okay	
687	PMC9573049	36236785	Machine Learning Approach to Predict the Performance of a Stratified Thermal Energy Storage Tank at a District Cooling Plant Using Sensor Data	Sensors (Basel, Switzerland)	10/10/2022	FALSE				Definitely okay	
688	PMC4306245	25620318	Validating estimates of prevalence of non-communicable diseases based on household surveys: the symptomatic diagnosis study	BMC Medicine	1/26/2015	FALSE				Definitely okay	
